n_fn_0,n_fn_1,n_fn_2,n_fn_3,n_fn_4,n_fn_5,n_fn_6,n_fn_7,n_fn_8,n_fn_9,n_fn_10,n_fn_11,used_inputs_fraction,active_fraction,n_one_arity,n_two_arity,run_name,seed,w,opt,problem
7,6,5,3,3,2,8,4,6,1,4,3,0.84,0.52,31,21,ga2_chemical_1_tower_adam_win_bin_11,11,_win_bin,adam,chemical_1_tower
6,1,4,2,3,2,2,7,4,5,5,2,0.88,0.43,30,13,ga2_chemical_1_tower_gaussian_wfn_11,11,_wfn,gaussian,chemical_1_tower
7,6,3,2,3,3,5,4,2,1,1,4,0.72,0.41,23,18,ga2_chemical_1_tower_gaussian_win_11,11,_win,gaussian,chemical_1_tower
6,1,4,2,3,2,2,7,4,5,5,2,0.88,0.43,30,13,ga2_chemical_1_tower_gaussian_wfn_bfn_11,11,_wfn_bfn,gaussian,chemical_1_tower
7,6,3,2,3,3,5,4,2,1,1,4,0.72,0.41,23,18,ga2_chemical_1_tower_gaussian_win_bfn_11,11,_win_bfn,gaussian,chemical_1_tower
6,1,4,2,3,2,2,7,4,5,5,2,0.88,0.43,30,13,ga2_chemical_1_tower_gaussian_wfn_bin_11,11,_wfn_bin,gaussian,chemical_1_tower
7,6,3,2,3,3,5,4,2,1,1,4,0.72,0.41,23,18,ga2_chemical_1_tower_gaussian_win_bin_11,11,_win_bin,gaussian,chemical_1_tower
4,8,2,2,4,3,3,2,3,3,7,3,0.92,0.44,28,16,ga2_chemical_1_tower_gaussian_11,11,,gaussian,chemical_1_tower
3,2,7,3,2,4,4,4,1,8,1,8,0.8,0.47,32,15,ga2_chemical_1_tower_adam_wfn_12,12,_wfn,adam,chemical_1_tower
1,8,5,5,6,8,4,3,3,4,0,3,0.88,0.5,31,19,ga2_chemical_1_tower_adam_win_12,12,_win,adam,chemical_1_tower
3,2,7,3,2,4,4,4,1,8,1,8,0.8,0.47,32,15,ga2_chemical_1_tower_adam_wfn_bfn_12,12,_wfn_bfn,adam,chemical_1_tower
1,8,5,5,6,8,4,3,3,4,0,3,0.88,0.5,31,19,ga2_chemical_1_tower_adam_win_bfn_12,12,_win_bfn,adam,chemical_1_tower
3,2,7,3,2,4,4,4,1,8,1,8,0.8,0.47,32,15,ga2_chemical_1_tower_adam_wfn_bin_12,12,_wfn_bin,adam,chemical_1_tower
1,8,5,5,6,8,4,3,3,4,0,3,0.88,0.5,31,19,ga2_chemical_1_tower_adam_win_bin_12,12,_win_bin,adam,chemical_1_tower
2,7,4,1,4,4,3,3,6,3,5,4,0.84,0.46,32,14,ga2_chemical_1_tower_gaussian_wfn_12,12,_wfn,gaussian,chemical_1_tower
2,8,8,3,2,6,3,1,1,6,3,4,0.8,0.47,26,21,ga2_chemical_1_tower_gaussian_win_12,12,_win,gaussian,chemical_1_tower
2,7,4,1,4,4,3,3,6,3,5,4,0.84,0.46,32,14,ga2_chemical_1_tower_gaussian_wfn_bfn_12,12,_wfn_bfn,gaussian,chemical_1_tower
2,8,8,3,2,6,3,1,1,6,3,4,0.8,0.47,26,21,ga2_chemical_1_tower_gaussian_win_bfn_12,12,_win_bfn,gaussian,chemical_1_tower
