iteration,max_fitness,time,rrmse_0,rrmse_1,rrmse_2,rrmse_3,rrmse_4,rrmse_5,rrmse_6,rrmse_7,rrmse_8,rrmse_9,rrmse_10,rrmse_11,rrmse_12,rrmse_13
106,0.010703921,5.788473606109619,0.9915561,1.0032952,1.0414654,1.1069754,1.0048482,1.061454,1.1102632,0.98030066,1.0766487,0.99228764,1.0035206,1.1361164,0.99333954,0.9851686
107,0.0107041,5.756640434265137,0.9915561,1.0032952,1.0414654,1.1069754,1.0048482,1.061454,1.1102632,0.98030066,1.0766487,0.99228764,1.0035206,1.1361164,0.99333954,0.9851686
108,0.010703921,5.6018218994140625,0.9915561,1.0032952,1.0414654,1.1069754,1.0048482,1.061454,1.1102632,0.98030066,1.0766487,0.99228764,1.0035206,1.1361164,0.99333954,0.9851686
109,0.010703921,5.731186151504517,0.9915561,1.0032952,1.0414654,1.1069754,1.0048482,1.061454,1.1102632,0.98030066,1.0766487,0.99228764,1.0035206,1.1361164,0.99333954,0.9851686
110,0.010703921,5.7283384799957275,0.9915561,1.0032952,1.0414654,1.1069754,1.0048482,1.061454,1.1102632,0.98030066,1.0766487,0.99228764,1.0035206,1.1361164,0.99333954,0.9851686
111,0.010703981,5.89083194732666,0.9915561,1.0032952,1.0414654,1.1069754,1.0048482,1.061454,1.1102632,0.98030066,1.0766487,0.99228764,1.0035206,1.1361164,0.99333954,0.9851686
112,0.010703921,5.645594358444214,0.9915561,1.0032952,1.0414654,1.1069754,1.0048482,1.061454,1.1102632,0.98030066,1.0766487,0.99228764,1.0035206,1.1361164,0.99333954,0.9851686
113,0.010706425,5.589892625808716,0.99168074,1.0032393,1.0407045,1.1056527,1.0045317,1.0618072,1.1090251,0.97997475,1.0771534,0.9923622,1.0037352,1.135212,0.99325156,0.9850046
114,0.010706246,5.892210483551025,0.99168074,1.0032393,1.0407045,1.1056527,1.0045317,1.0618072,1.1090251,0.97997475,1.0771534,0.9923622,1.0037352,1.135212,0.99325156,0.9850046
115,0.0107063055,5.724178791046143,0.99168074,1.0032393,1.0407045,1.1056527,1.0045317,1.0618072,1.1090251,0.97997475,1.0771534,0.9923622,1.0037352,1.135212,0.99325156,0.9850046
116,0.010706782,5.763163805007935,0.9916734,1.003238,1.0407429,1.1056911,1.0045373,1.0617893,1.1090717,0.9799906,1.0771322,0.9923576,1.0037222,1.13525,0.9932455,0.9850108
117,0.010706961,5.6494691371917725,0.9916734,1.003238,1.0407429,1.1056911,1.0045373,1.0617893,1.1090717,0.9799906,1.0771322,0.9923576,1.0037222,1.13525,0.9932455,0.9850108
118,0.010706902,5.770044803619385,0.9916734,1.003238,1.0407429,1.1056911,1.0045373,1.0617893,1.1090717,0.9799906,1.0771322,0.9923576,1.0037222,1.13525,0.9932455,0.9850108
119,0.010706961,5.596506357192993,0.9916734,1.003238,1.0407429,1.1056911,1.0045373,1.0617893,1.1090717,0.9799906,1.0771322,0.9923576,1.0037222,1.13525,0.9932455,0.9850108
120,0.010706782,5.788966655731201,0.9916734,1.003238,1.0407429,1.1056911,1.0045373,1.0617893,1.1090717,0.9799906,1.0771322,0.9923576,1.0037222,1.13525,0.9932455,0.9850108
121,0.010706782,5.657212018966675,0.9916734,1.003238,1.0407429,1.1056911,1.0045373,1.0617893,1.1090717,0.9799906,1.0771322,0.9923576,1.0037222,1.13525,0.9932455,0.9850108
122,0.010706782,5.600273847579956,0.9916734,1.003238,1.0407429,1.1056911,1.0045373,1.0617893,1.1090717,0.9799906,1.0771322,0.9923576,1.0037222,1.13525,0.9932455,0.9850108
123,0.010706782,5.592329978942871,0.9916734,1.003238,1.0407429,1.1056911,1.0045373,1.0617893,1.1090717,0.9799906,1.0771322,0.9923576,1.0037222,1.13525,0.9932455,0.9850108
124,0.0107072,5.7575647830963135,0.9916548,1.0032437,1.0408509,1.1058646,1.0045769,1.061739,1.1092396,0.98003614,1.0770624,0.99234647,1.0036904,1.1353753,0.9932523,0.98503274
125,0.010707259,5.791903257369995,0.9916548,1.0032437,1.0408509,1.1058646,1.0045769,1.061739,1.1092396,0.98003614,1.0770624,0.99234647,1.0036904,1.1353753,0.9932523,0.98503274
126,0.010707259,5.57222843170166,0.9916548,1.0032437,1.0408509,1.1058646,1.0045769,1.061739,1.1092396,0.98003614,1.0770624,0.99234647,1.0036904,1.1353753,0.9932523,0.98503274
127,0.010707259,5.656789302825928,0.9916548,1.0032437,1.0408509,1.1058646,1.0045769,1.061739,1.1092396,0.98003614,1.0770624,0.99234647,1.0036904,1.1353753,0.9932523,0.98503274
128,0.010707259,5.719658136367798,0.9916548,1.0032437,1.0408509,1.1058646,1.0045769,1.061739,1.1092396,0.98003614,1.0770624,0.99234647,1.0036904,1.1353753,0.9932523,0.98503274
129,0.0107072,5.600881338119507,0.9916548,1.0032437,1.0408509,1.1058646,1.0045769,1.061739,1.1092396,0.98003614,1.0770624,0.99234647,1.0036904,1.1353753,0.9932523,0.98503274
130,0.0107072,5.7145771980285645,0.9916548,1.0032437,1.0408509,1.1058646,1.0045769,1.061739,1.1092396,0.98003614,1.0770624,0.99234647,1.0036904,1.1353753,0.9932523,0.98503274
131,0.010707259,5.675169467926025,0.9916548,1.0032437,1.0408509,1.1058646,1.0045769,1.061739,1.1092396,0.98003614,1.0770624,0.99234647,1.0036904,1.1353753,0.9932523,0.98503274
132,0.010707259,5.575360059738159,0.9916548,1.0032437,1.0408509,1.1058646,1.0045769,1.061739,1.1092396,0.98003614,1.0770624,0.99234647,1.0036904,1.1353753,0.9932523,0.98503274
