iteration,max_fitness,time,rrmse_0,rrmse_1,rrmse_2,rrmse_3,rrmse_4,rrmse_5,rrmse_6,rrmse_7,rrmse_8,rrmse_9,rrmse_10,rrmse_11,rrmse_12,rrmse_13,rrmse_14,rrmse_15
56,-0.09556997,9.272470712661743,1.5777218,1.2812134,1.2464774,1.0702477,1.2310673,1.3142421,1.2748592,1.3768501,1.578032,1.2398657,1.2373804,0.99521273,1.2019292,1.2997704,1.2384716,1.3716854
57,-0.033955455,9.274638175964355,1.5788779,1.2824528,1.2473531,1.07102,1.2314345,1.3146603,1.2748901,1.376716,1.5794218,1.2403072,1.2381011,0.9952915,1.2019892,1.2996264,1.2384878,1.3714794
58,-0.08360517,9.42813515663147,1.5786734,1.282373,1.2466481,1.0710261,1.2314007,1.314717,1.2750793,1.3769344,1.5773553,1.2400315,1.2366391,0.9946435,1.2019938,1.2993301,1.2384107,1.3713706
59,-0.07121372,9.588548183441162,1.5784494,1.2825142,1.2473911,1.0710695,1.2312919,1.3146819,1.2744074,1.3768821,1.5790234,1.2402704,1.2378129,0.99531317,1.2017884,1.2998695,1.2384384,1.3715619
60,-0.05321431,9.233633041381836,1.5764819,1.281817,1.2454673,1.0706242,1.2303002,1.3140371,1.2748175,1.3762249,1.5780494,1.2400305,1.2372721,0.99516577,1.1977601,1.2965955,1.2361146,1.3697077
61,-0.058775783,9.280890226364136,1.5778719,1.281675,1.2462599,1.0708477,1.2296462,1.3138072,1.2742844,1.3760483,1.5783937,1.240045,1.237495,0.9952279,1.1995103,1.2944001,1.2360203,1.3681409
62,-0.056461096,9.252740383148193,1.5788277,1.2826211,1.2474564,1.0708845,1.2294192,1.3131975,1.272016,1.3748854,1.5789151,1.2403579,1.2380586,0.9953217,1.2018839,1.2998765,1.2384547,1.3716964
63,-0.052959442,9.182056427001953,1.5759557,1.2805151,1.2449563,1.0703603,1.2313608,1.3148067,1.275056,1.37649,1.5784302,1.240409,1.2370179,0.9949403,1.2019805,1.299586,1.2384166,1.3711798
64,-0.06066823,9.266771078109741,1.5756668,1.2818666,1.2460701,1.0709958,1.2313992,1.314778,1.2740912,1.3762429,1.5776564,1.2399774,1.2372859,0.99531496,1.2014707,1.2990481,1.2383987,1.3715903
65,-0.12552595,9.326598644256592,1.5788637,1.2826486,1.2473711,1.0710089,1.2311924,1.3144379,1.2737246,1.3767518,1.578924,1.2405092,1.2375205,0.9950971,1.2019935,1.3000169,1.2384664,1.3716824
66,-0.097848535,9.199291229248047,1.5768179,1.2800276,1.2438537,1.0683604,1.2305564,1.3140178,1.2737399,1.3735878,1.5788428,1.2398337,1.2355866,0.9936543,1.2011745,1.2965646,1.2329112,1.3646791
67,-0.0736686,9.497437715530396,1.5760187,1.280354,1.2454545,1.0697081,1.2293317,1.3133688,1.2743198,1.3754927,1.5773405,1.2392596,1.2366978,0.99410427,1.2004814,1.2963899,1.2377098,1.3706975
68,-0.05120504,9.489723682403564,1.5786235,1.2825304,1.2465798,1.0704367,1.2309399,1.3148005,1.2739727,1.3768742,1.5790522,1.2394185,1.2379602,0.99444324,1.20184,1.2975783,1.2384781,1.371141
69,-0.071852446,9.249181509017944,1.5787938,1.2826701,1.2474389,1.0708363,1.2314303,1.3145177,1.2746401,1.3764871,1.5778599,1.2404246,1.2377707,0.9952673,1.2013322,1.2995684,1.2384462,1.3716313
70,-0.0776521,9.401388168334961,1.5774331,1.2814198,1.2465036,1.0709329,1.2298174,1.314333,1.274939,1.3767266,1.5758493,1.2385075,1.2352766,0.9943033,1.2001426,1.2985331,1.2380754,1.3706379
71,-0.075356245,9.063898086547852,1.5785291,1.2824823,1.2473029,1.0710586,1.2308595,1.3134435,1.2747486,1.3764522,1.5793163,1.2406179,1.2379965,0.99518955,1.2016811,1.2996742,1.2384868,1.3714368
72,-0.08284521,9.342599391937256,1.5750488,1.2786999,1.2417848,1.069035,1.2309502,1.3141425,1.2747946,1.375674,1.5772052,1.2386585,1.2366351,0.9931746,1.2010311,1.2976046,1.2362894,1.3680516
73,-0.07111013,9.381794929504395,1.578885,1.2826684,1.2464901,1.0704592,1.2311572,1.3142512,1.2740793,1.3761655,1.5791655,1.2404698,1.237595,0.99270564,1.2019663,1.3000225,1.2380757,1.3713108
74,-0.046509266,9.198403358459473,1.5732001,1.2768106,1.2450446,1.0697407,1.2314324,1.3148199,1.2748617,1.376895,1.5717553,1.2372633,1.2358044,0.9938444,1.2014297,1.2987366,1.2381976,1.3711066
